海岸番号,海岸,エリア,市町,調査延長m,緯度,経度,季節,分類番号,分類,体積L,重量Kg
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,2,プラスチックボトル,0.600,0.064
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,3,食品プラスチック容器,1.988,0.068
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,4,食品袋,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,5,ライター,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,6,産廃系,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,7,カキ養殖用バルブ,4.306,0.400
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,8,その他プラスチック類,7.703,0.332
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,9,発泡スチロール製フロート,0.000,0.000
4,切串海岸,西部,江田島市,210,34.287,132.468,秋,10,その他（金属・ゴム・木・ガラス・陶器）,13.238,0.268
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,1,ペットボトル,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,2,プラスチックボトル,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,3,食品プラスチック容器,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,4,食品袋,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,5,ライター,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,6,産廃系,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,7,カキ養殖用バルブ,1.159,0.074
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,8,その他プラスチック類,1.666,0.098
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,9,発泡スチロール製フロート,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,冬,10,その他（金属・ゴム・木・ガラス・陶器）,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,1,ペットボトル,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,2,プラスチックボトル,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,3,食品プラスチック容器,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,4,食品袋,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,5,ライター,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,6,産廃系,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,7,カキ養殖用バルブ,0.013,0.011
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,8,その他プラスチック類,0.105,0.009
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,9,発泡スチロール製フロート,0.000,0.000
5,長瀬海岸,西部,江田島市,345,34.226,132.452,夏,10,その他（金属・ゴム・木・ガラス・陶器）,0.001,0.001
